ID,Name,NOC,Year,Season,Sport,Event,Medal
509,Gary Abraham,GBR,1980,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
514,Ara Abrahamian,SWE,2004,Summer,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
519,Harold Maurice Abrahams,GBR,1924,Summer,Athletics,Athletics Men's 100 metres,Gold
519,Harold Maurice Abrahams,GBR,1924,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
521,Isak Abrahamsen,NOR,1912,Summer,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
527,Erik Adolf Efraim Abrahamsson,SWE,1920,Summer,Athletics,Athletics Men's Long Jump,Bronze
529,Karl Gustaf Emanuel Abrahamsson,SWE,1928,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
543,Pavel Sergeyevich Abramov,RUS,2004,Summer,Volleyball,Volleyball Men's Volleyball,Bronze
547,Nelli Mikhaylovna Abramova,URS,1964,Summer,Volleyball,Volleyball Women's Volleyball,Silver
548,Yekaterina Konstantinovna Abramova,RUS,2006,Winter,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
576,"Alejandro ""lex"" Abrines Redondo",ESP,2016,Summer,Basketball,Basketball Men's Basketball,Bronze
580,Svetlana Olegovna Abrosimova,RUS,2008,Summer,Basketball,Basketball Women's Basketball,Bronze
582,Saypulla Atavovich Absaidov,URS,1980,Summer,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
583,Julien Absalon,FRA,2004,Summer,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
583,Julien Absalon,FRA,2008,Summer,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
608,Ahmad Abughaush,JOR,2016,Summer,Taekwondo,Taekwondo Men's Featherweight,Gold
610,Ginko Abukawa-Chiba,JPN,1964,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
618,Aleksandr Veniaminovich Abushakhmetov,URS,1980,Summer,Fencing,"Fencing Men's epee, Team",Bronze
619,Magomedgasan Mingazhutdinovich Abushev,URS,1980,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
627,Andreea Roxana Acatrinei,ROU,2008,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
629,William Accambray,FRA,2012,Summer,Handball,Handball Men's Handball,Gold
634,Paul Accola,SUI,1988,Winter,Alpine Skiing,Alpine Skiing Men's Combined,Bronze
639,Domingo Gmez-Acedo Villanueva,ESP,1920,Summer,Football,Football Men's Football,Silver
646,Anibl Santiago Acevedo,PUR,1992,Summer,Boxing,Boxing Men's Welterweight,Bronze
654,Daniel Aceves Villagrn,MEX,1984,Summer,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
669,Joachim Yaw Acheampong,GHA,1992,Summer,Football,Football Men's Football,Bronze
670,Alfred Achermann,SUI,1984,Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
673,Abdel Hak Achik,MAR,1988,Summer,Boxing,Boxing Men's Featherweight,Bronze
674,Mohamed Abdelhak Achik,MAR,1992,Summer,Boxing,Boxing Men's Bantamweight,Bronze
680,Rita Nikolayevna Achkina,URS,1968,Winter,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
690,Chantal Achterberg,NED,2012,Summer,Rowing,Rowing Women's Coxed Eights,Bronze
690,Chantal Achterberg,NED,2016,Summer,Rowing,Rowing Women's Quadruple Sculls,Silver
697,Fausto Alesio Acke (Padovini-),SWE,1920,Summer,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
698,Paul Douglas Ackerley,NZL,1976,Summer,Hockey,Hockey Men's Hockey,Gold
699,"Charles Edwin ""Charley"" Ackerly",USA,1920,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
702,Ronny Ackermann,GER,2002,Winter,Nordic Combined,Nordic Combined Men's Team,Silver
702,Ronny Ackermann,GER,2002,Winter,Nordic Combined,Nordic Combined Men's Sprint,Silver
702,Ronny Ackermann,GER,2006,Winter,Nordic Combined,Nordic Combined Men's Team,Silver
705,Donat Acklin,SUI,1992,Winter,Bobsleigh,Bobsleigh Men's Two,Gold
705,Donat Acklin,SUI,1992,Winter,Bobsleigh,Bobsleigh Men's Four,Bronze
705,Donat Acklin,SUI,1994,Winter,Bobsleigh,Bobsleigh Men's Two,Gold
705,Donat Acklin,SUI,1994,Winter,Bobsleigh,Bobsleigh Men's Four,Silver
706,Guido Acklin,SUI,1994,Winter,Bobsleigh,Bobsleigh Men's Two,Silver
716,Lautaro Germn Acosta,ARG,2008,Summer,Football,Football Men's Football,Gold
723,Osmay Acosta Duarte,CUB,2008,Summer,Boxing,Boxing Men's Heavyweight,Bronze
727,Martn Ral Acosta y Lara Daz,URU,1952,Summer,Basketball,Basketball Men's Basketball,Bronze
745,Kazimierz Piotr Adach,POL,1980,Summer,Boxing,Boxing Men's Lightweight,Bronze
762,"Gordon Belgum ""Gordy"" Adam",USA,1936,Summer,Rowing,Rowing Men's Coxed Eights,Gold
766,Ji Adam,TCH,1976,Summer,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
772,"Michael B. ""Mike"" Adam",CAN,2006,Winter,Curling,Curling Men's Curling,Gold
775,Otto Adam,GER,1936,Summer,Fencing,"Fencing Men's Foil, Team",Bronze
777,Pierre Louis Eugne Adam,FRA,1948,Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
785,Dariusz Adamczuk,POL,1992,Summer,Football,Football Men's Football,Silver
807,"Benjamin Willard ""Ben"" Adams",USA,1912,Summer,Athletics,Athletics Men's Standing High Jump,Silver
